0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,-1,0,0,0,0,-1,0,0,-1,-0.0005884873807988633
1,1,0,0,0,0,-2,0,0,0,0,-1,-0.0000707968710490503
1,0,0,1,0,-1,0,0,0,0,-1,-1,0.0007803054810396892
-2,0,0,1,0,0,0,0,1,0,0,1,0.0005884873807988633
-1,-1,0,0,0,0,2,0,0,0,0,1,0.0000707968710490503
-1,0,0,-1,0,1,0,0,0,0,1,1,-0.0007803054810396892
0,1,0,1,0,0,0,0,0,-3,0,0,0.0009600554313264897
0,-1,0,-1,0,0,0,0,0,3,0,0,-0.0009600554313264897
0,0,1,0,1,0,0,0,0,-1,-1,-1,-0.0009668847112557222
0,0,1,0,1,0,0,0,0,0,-3,0,0.00090617166037954
0,0,-1,0,-1,0,0,0,0,1,1,1,0.0009668847112557222
0,0,-1,0,-1,0,0,0,0,0,3,0,-0.00090617166037954
0,0,0,1,0,1,0,0,0,0,0,-3,0.0008553121531125196
0,0,0,-1,0,-1,0,0,0,0,0,3,-0.0008553121531125196
